ID_Supabase;SKU;Nombre;Gama;Subcategoria;Peso (kg/g);PVP;Precio Base (PVD);Ruta Foto Actual;Foto Correcta?;Ruta CORRECTA de Foto
3ad7d74d-d404-457a-89ba-c968533f3ccb;AM-001;AMANOVA Adult Cat Delicious Lamb & Calabaza 1,5Kg;Grain Free;Alimentación seca;1,5KG;17.43;10.41;public/images/productos/AM-001.jpg;;
bddeba12-7bc1-47a8-a328-a81edd2d9f96;AM-002;AMANOVA Adult Cat Delicious Lamb & Calabaza 4Kg;Grain Free;Alimentación seca;4KG;43.15;25.03;public/images/productos/AM-002.jpg;;
b7e1c7ec-8047-479d-baa2-e75532ef8bda;AM-003;AMANOVA Adult Cat Divine Rabbit & Calabaza 1,5Kg;Grain Free;Alimentación seca;1,5KG;19.37;11.57;public/images/productos/AM-003.jpg;;
324658c6-142d-4c6d-9f28-fb8deb2b454e;AM-004;AMANOVA Adult Cat Divine Rabbit & Calabaza 4Kg;Grain Free;Alimentación seca;4KG;48.5;28.97;public/images/productos/AM-004.jpg;;
abb93e45-47ce-4c43-a2b0-a48f7182c2cb;AM-005;AMANOVA Adult Cat Exquisite Chicken & Quinoa 1,5Kg;Low Grain;Alimentación seca;1,5KG;13.54;8.09;public/images/productos/AM-005.jpg;;
94cc5d09-e2bf-46b2-8bb1-9272000970f2;AM-006;AMANOVA Adult Cat Exquisite Chicken & Quinoa 6Kg;Low Grain;Alimentación seca;6KG;33.93;20.27;public/images/productos/AM-006.jpg;;
7e23740d-dfc5-40ed-a469-37f0be54e406;AM-007;AMANOVA Adult Cat Fish Delicacy & Quinoa 1,5Kg;Low Grain;Alimentación seca;1,5KG;16.46;9.83;public/images/productos/AM-007.jpg;;
4243af97-d1aa-4d88-80db-6863406c5166;AM-008;AMANOVA Adult Cat Fish Delicacy & Quinoa 6Kg;Low Grain;Alimentación seca;6KG;45.58;27.23;public/images/productos/AM-008.jpg;;
2d88d1fe-483f-4381-9415-3b18528e7964;AM-009;AMANOVA Adult Cat Salmon Deluxe & Quinoa 1,5Kg;Low Grain;Alimentación seca;1,5KG;15.49;9.25;public/images/productos/AM-009.jpg;;
27db9438-ead4-46d3-89f1-444a9b513b43;AM-010;AMANOVA Adult Cat Salmon Deluxe & Quinoa 6Kg;Low Grain;Alimentación seca;6KG;42.67;25.49;public/images/productos/AM-010.jpg;;
753a71f4-a7a4-4948-a094-de3bd927f46d;AM-011;AMANOVA Adult Cat Turkey Delight & Calabaza 1,5Kg;Grain Free;Alimentación seca;1,5KG;17.43;10.41;public/images/productos/AM-011.jpg;;
a0d66d14-045d-4855-bae8-7d3207ff83e1;AM-012;AMANOVA Adult Cat Turkey Delight & Calabaza 4Kg;Grain Free;Alimentación seca;4KG;37.82;22.59;public/images/productos/AM-012.jpg;;
6833a016-8b16-466d-9cf8-0420872ee2ac;AM-074;AMANOVA Adult Digestive Divine Rabbit & Calabaza 10Kg;Grain Free;Alimentación seca;10KG;77.62;46.37;public/images/productos/AM-074.jpg;;
ffafb748-504e-42cb-b665-9be98a9bab5f;AM-075;AMANOVA Adult Digestive Divine Rabbit & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;23.25;13.89;public/images/productos/AM-075.jpg;;
0da32a3e-61b8-4af8-bf91-c719a3a11695;AM-076;AMANOVA Adult Exigent Iberian Pork & Calabaza 10Kg;Grain Free;Alimentación seca;10KG;65.0;38.83;public/images/productos/AM-076.jpg;;
fc5943d5-a45c-471f-93c9-059bd4b4a88c;AM-077;AMANOVA Adult Exigent Iberian Pork & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;17.43;10.41;public/images/productos/AM-077.jpg;;
ed0d7a31-65cc-4b87-a477-aa97597bf655;AM-078;AMANOVA Adult Exigent Venison Supreme 10Kg;Low Grain;Alimentación seca;10KG;76.65;45.79;public/images/productos/AM-078.jpg;;
31bad5fb-6d86-47b2-bb53-3c28cb584947;AM-079;AMANOVA Adult Exigent Venison Supreme 2Kg;Low Grain;Alimentación seca;2KG;20.34;12.15;public/images/productos/AM-079.jpg;;
4af85795-14c1-4b7a-8753-dc064a04a57b;AM-080;AMANOVA Adult Large Exquisite Chicken & Quinoa 12Kg;Low Grain;Alimentación seca;12KG;57.23;34.19;public/images/productos/AM-080.jpg;;
2e619e92-e451-419f-b8e1-0f864344dba5;AM-081;AMANOVA Adult Mature Fish Delicacy & Quinoa 10Kg;Low Grain;Alimentación seca;10KG;67.91;40.57;public/images/productos/AM-081.jpg;;
c7b0cbb3-9c3b-482a-9620-fd311038cd1c;AM-082;AMANOVA Adult Mature Fish Delicacy & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;18.40;10.99;public/images/productos/AM-082.jpg;;
ad0ec7ac-731a-4c0e-8247-dec9d4c1009c;AM-083;AMANOVA Adult Medium Exquisite Chicken & Quinoa 12Kg;Low Grain;Alimentación seca;12KG;57.23;34.19;public/images/productos/AM-083.jpg;;
09ea011d-05c2-4a37-9570-e33b675f601d;AM-084;AMANOVA Adult Medium Exquisite Chicken & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;14.51;8.67;public/images/productos/AM-084.jpg;;
