ID_Supabase;SKU;Nombre;Gama;Subcategoria;Peso (kg/g);PVP;Precio Base (PVD);Ruta Foto Actual;Foto Correcta?;Ruta CORRECTA de Foto;
bf80939a-294d-46ce-8a80-e716508136f4;ATP-017;ATLANTIC PET  RECETA GRAIN FREE CORDERO 14KG;SUPER PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;14KG;55.99;34.71;public/images/productos/ATP-017.jpg;;;
4e6d16a8-8f89-4eea-b58a-ce3fdd66cc27;ATP-018;ATLANTIC PET  RECETA GRAIN FREE CORDERO 3KG;SUPER PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;3KG;13.99;8.67;public/images/productos/ATP-018.jpg;;;
13863e77-1c4e-4086-8158-4aba351f4908;ATP-001;ATLANTIC PET ADULT CHICKEN 15KG;PREMIUN RECETAS;Alimentaci贸n seca;15KG;37.95;23.53;public/images/productos/ATP-001.jpg;;;
33ff4fc7-a820-4ec0-8941-2cf6d741a4a3;ATP-002;ATLANTIC PET ADULT CHICKEN 3KG;PREMIUN RECETAS;Alimentaci贸n seca;3KG;9.45;5.86;public/images/productos/ATP-002.jpg;;;
ea374f22-a332-4d02-b2b3-d3381b77a262;ATP-003;ATLANTIC PET ADULT SALMON 15KG;PREMIUN RECETAS;Alimentaci贸n seca;15KG;39.95;24.77;public/images/productos/ATP-003.jpg;;;
9b964d53-4d59-453b-806c-ecf3faeb60e0;ATP-004;ATLANTIC PET ADULT SALMON 3KG;PREMIUN RECETAS;Alimentaci贸n seca;3KG;9.95;6.17;public/images/productos/ATP-004.jpg;;;
3763af93-7c69-4d2b-a5aa-dc3814d4d0bd;ATP-019;ATLANTIC PET ADULT TURKEY 15KG;PREMIUN RECETAS;Alimentaci贸n seca;15KG;39.95;24.77;public/images/productos/ATP-019.jpg;;;
347062c7-c5ea-481a-8b0a-9c8f586dbfed;ATP-020;ATLANTIC PET AMERICAN BULLY XTREME ENERGY 5200 CAL 12KG;Atlantic Pet Especial Bully perro;Alimentaci贸n seca;12KG;59.95;35.97;public/images/productos/ATP-020.jpg;;;ELIMINAR
02e07776-2385-4ae2-a013-c8988d51b216;ATP-021;ATLANTIC PET AMERICAN BULLY XTREME ENERGY 5200 CAL 18KG;Atlantic Pet Especial Bully perro;Alimentaci贸n seca;18KG;74.95;44.97;public/images/productos/ATP-021.jpg;;;ELIMINAR
7cc1db4b-0370-4ed5-9c15-f9b34fc26ebb;ATP-022;ATLANTIC PET CLASSIC SUPREME ADULT FISH with POTATO 18KG;CLASSIC SUPREME;Alimentaci贸n seca;18KG;44.95;0.0;public/images/productos/ATP-022.jpg;;;
fd86ac9d-c60b-4630-b76e-ba6a488e7f57;ATP-023;ATLANTIC PET CLASSIC SUPREME ADULT LAMB with POTATO 18KG;CLASSIC SUPREME;Alimentaci贸n seca;18KG;46.95;0.0;public/images/productos/ATP-023.jpg;;;
22c64f24-e6dd-4500-8bb8-178bacafd61c;ATP-024;ATLANTIC PET CLASSIC SUPREME ADULT TURKEY with POTATO 18KG;CLASSIC SUPREME;Alimentaci贸n seca;18KG;44.95;0.0;public/images/productos/ATP-024.jpg;;;
03c80d0e-3f7c-4bde-b548-5164b348201c;ATP-005;ATLANTIC PET CLASSIC SUPREME CAT ADULT 18KG;CLASSIC SUPREME GATO;Alimentaci贸n seca;18KG;39.95;25.97;public/images/productos/ATP-005.jpg;;;
b3a40f27-11ee-4f94-b878-359298770b16;ATP-006;ATLANTIC PET CLASSIC SUPREME CAT STERILISED 18KG;CLASSIC SUPREME GATO;Alimentaci贸n seca;18KG;44.95;29.22;public/images/productos/ATP-006.jpg;;;
