Nombre Original PDF;Gama Extraída;Peso Sugerido Web;PVP;Ruta de Foto Asignada por el Bot;Foto Correcta? (SI/NO);Ruta CORRECTA de Foto (si la anterior es NO)
Lenda Grain Free Todo Aves;Grain Free;2 kg;23,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\FRONT-POULTRY-2KG.png;;
Lenda Grain Free Salmón - Monoproteico;Grain Free;2 kg;20,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-SALMON-2KG.png;;
Lenda Grain Free Todo Aves;Grain Free;10 kg;74,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\FRONT-POULTRY-2KG.png;;
Lenda Grain Free Salmón - Monoproteico;Grain Free;10 kg;65,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-SALMON-2KG.png;;
Lenda Grain Free Todo Pescado;Grain Free;2 kg;23,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-PURE-FISH-2KG.png;;
Lenda Grain Free Pavo - Monoproteico;Grain Free;2 kg;17,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-PAVO-2KG.png;;
Lenda Grain Free Todo Pescado;Grain Free;10 kg;74,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-PURE-FISH-2KG.png;;
Lenda Grain Free Pavo - Monoproteico;Grain Free;10 kg;55,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-PAVO-2KG.png;;
Lenda Grain Free Conejo - Senior & Light;Grain Free;2 kg;20,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-SENIOR-2KG.png;;
Lenda Grain Free Cerdo - Monoproteico;Grain Free;2 kg;20,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-CERDO-2KG.png;;
Lenda Grain Free Conejo - Senior & Light;Grain Free;10 kg;65,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-SENIOR-2KG.png;;
Lenda Grain Free Cerdo - Monoproteico;Grain Free;10 kg;60,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-CERDO-2KG.png;;
Lenda Grain Free Puppy Conejo;Grain Free;2 kg;20,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-PUPPY-2KG.png;;
Lenda Grain Free Mini Pescado y Krill;Grain Free;2 kg;23,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-MINI-2KG.png;;
Lenda Grain Free Puppy Conejo;Grain Free;10 kg;69,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Grain Free\LENDA-PUPPY-2KG.png;;
Lenda Gato Kitten Grain Free No Poultry;Grain Free;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Grain Free Gatos\LENDA-KITTEN.png;;
Lenda Gato Grain Free Senior Light Low Fat;Grain Free;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Grain Free Gatos\LENDA-LOW-FAT.png;;
Lenda Gato Kitten Grain Free No Poultry;Grain Free;5 kg;48,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Grain Free Gatos\LENDA-KITTEN.png;;
Lenda Gato Grain Free Senior Light Low Fat;Grain Free;5 kg;48,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Grain Free Gatos\LENDA-LOW-FAT.png;;
Lenda Gato Grain Free Pork;Grain Free;2 kg;19,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Gatos\Alimentación seca\Gama Grain Free Gatos\LENDA-ADULT-CAT.png;;
