Nombre Original PDF;Gama Extraída;Peso Sugerido Web;PVP;Ruta de Foto Asignada por el Bot;Foto Correcta? (SI/NO);Ruta CORRECTA de Foto (si la anterior es NO)
Lenda Puppy;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-PUPPY-WEB.png;;
Lenda Puppy;Lenda;6 kg;39,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-PUPPY-WEB.png;;
Lenda Puppy;Lenda;12 kg;61,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-PUPPY-WEB.png;;
Lenda Puppy Maxi;Lenda;12 kg;61,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MAXI-PUPPY-WEB.png;;
Lenda Pollo Maxi;Lenda;12 kg;57,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MAXI-CHICKEN-WEB.png;;
Lenda Pollo;Lenda;2 kg;17,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-POLLO.png;;
Lenda Pollo;Lenda;6 kg;33,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-POLLO.png;;
Lenda Pollo;Lenda;12 kg;55,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-POLLO.png;;
Lenda Light;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-LIGHT.png;;
Lenda Light;Lenda;6 kg;34,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-LIGHT.png;;
Lenda Light;Lenda;12 kg;58,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-LIGHT.png;;
Lenda Cordero;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-CORDERO.png;;
Lenda Cordero;Lenda;6 kg;35,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-CORDERO.png;;
Lenda Cordero;Lenda;12 kg;59,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-CORDERO.png;;
Lenda Salmon;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-SALMON-WEB.png;;
Lenda Salmon;Lenda;6 kg;35,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-SALMON-WEB.png;;
Lenda Salmon;Lenda;12 kg;59,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-SALMON-WEB.png;;
Lenda Mini Puppy First Bites;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-FISRT-BITES-WEB.png;;
Lenda Mini Meat & Fish;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-MEATFISH-WEB.png;;
Lenda Mini Meat & Fish;Lenda;6 kg;39,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-MEATFISH-WEB.png;;
Lenda Mini Atlantic Blue Fish;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-ATLANTIC-BLUE-FISH-WEB.png;;
Lenda Mini Light & Sterilized;Lenda;2 kg;18,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-LIGHT-WEB.png;;
Lenda Mini Hypo Skin & Coat GF;Lenda;2 kg;22,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-HYPOALLERGENIC.png;;
Lenda Mini Hypo Skin & Coat GF;Lenda;6 kg;43,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\LENDA-MINI-HYPOALLERGENIC.png;;
Lenda Atún Grain Free;Lenda;3 kg;26,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Atun-jpeg.webp;;
Lenda Atún Grain Free;Lenda;12 kg;69,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Atun-jpeg.webp;;
Lenda Pavo Grain Free;Lenda;3 kg;26,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Pavo-jpeg.webp;;
Lenda Pavo Grain Free;Lenda;12 kg;69,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Pavo-jpeg.webp;;
Lenda Sensitive GF;Lenda;3 kg;26,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Sensitive-jpeg.webp;;
Lenda Sensitive GF;Lenda;12 kg;76,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Sensitive-jpeg.webp;;
Lenda Senior Mobility LG;Lenda;3 kg;25,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Senior-Mobility-jpeg.webp;;
Lenda Senior Mobility LG;Lenda;6 kg;44,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Senior-Mobility-jpeg.webp;;
Lenda Senior Mobility LG;Lenda;12 kg;69,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Lenda\Lenda-Senior-Mobility-jpeg.webp;;
Lenda Lata de Buey;Lenda;400 g;3,6;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama  Lenda Wet Grain Free\LENDA-BUEY-GUISANTES-GRAIN FREE.png;;
Lenda Lata de Conejo;Lenda;400 g;3,6;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama  Lenda Wet Grain Free\LENDA-CONEJO-ZANAHORIAS-GRAIN FREE.png;;
Lenda Lata de Pollo;Lenda;400 g;3,6;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama  Lenda Wet Grain Free\LENDA-POLLO-ZANAHORIAS-GRAIN FREE.png;;
Lenda Lata de Merluza;Lenda;400 g;5,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama  Lenda Wet Grain Free\LENDA-PESCADO-BLANCO-PATATA-GRAIN FREE.png;;
Lenda Migas Merluza (Cachorros);Lenda;120 g;3,2;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Lenda-Foodie-Puppy-Migas-de-merluza.png;;
Lenda Migas de caballa (Cachorros);Lenda;120 g;2,8;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Lenda-Foodie-Puppy-Migas-de-caballa.png;;
Lenda Mordiscos Atlánticos;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Mordiscos-Atlanticos.png;;
Lenda Estofado salvaje;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Estofado-Salvaje.png;;
Lenda Puchero Cochinillo;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Puchero-de-Cochinillo.png;;
Lenda Cazuela Silvestre;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Cazuela-Silvestre.png;;
Lenda Meloso Lechón;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Meloso-de-Lechon.png;;
Lenda Pavo Provenzal;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Pavo-Provenzal.png;;
Lenda Tapenade Granjero;Lenda;380 g;4,5;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación humeda\Gama Lenda Foddie\Foodie-Tapenade-Granjero.png;;
Lenda Aceite Atún;Lenda;250ml;10,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Aceites\Aceite Atún.webp;;
Lenda Rabo de Toro;Lenda;15cm;3,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Snack\Rabo-Toro.jpg;;
Lenda Urban Farm Flavour (Pollo);Lenda;2 kg;12,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FARM-FLAVOUR.png;;
Lenda Urban Farm Flavour (Pollo);Lenda;10 kg;33,95;C:\Users\truji\OneDrive\PERSONAL\Imágenes\Fotos productos\Lenda\Perros\Alimentación seca\Gama Urban\LENDA-URBAN-FARM-FLAVOUR.png;;
